year,state,crop,land_area,yield
2015,Abia,sorghum,,
2015,Adamawa,sorghum,203.4,1.07
2015,Akwa-Ibom,sorghum,,
2015,Anambra,sorghum,,
2015,Bauchi,sorghum,290.8,1.04
2015,Bayelsa,sorghum,,
2015,Benue,sorghum,93.98,1.16
2015,Borno,sorghum,225.1,0.96
2015,Cross River,sorghum,,
2015,Delta,sorghum,,
2015,Ebonyi,sorghum,,
2015,Edo,sorghum,,
2015,Ekiti,sorghum,,
2015,Enugu,sorghum,,
2015,Fct,sorghum,90.5,1.14
2015,Gombe,sorghum,255.1,1.09
2015,Imo,sorghum,,
2015,Jigawa,sorghum,229.82,1.59
2015,Kaduna,sorghum,375.46,1.2
2015,Kano,sorghum,538.2,1.23
2015,Katsina,sorghum,278.96,1.3
2015,Kebbi,sorghum,238.37,1.57
2015,Kogi,sorghum,80.48,1.35
2015,Kwara,sorghum,79.32,1.3
2015,Lagos,sorghum,,
2015,Nasarawa,sorghum,96.19,1.21
2015,Niger,sorghum,325.53,1.41
2015,Ogun,sorghum,,
2015,Ondo,sorghum,,
2015,Osun,sorghum,,
2015,Oyo,sorghum,,
2015,Plateau,sorghum,196.74,1.09
2015,Rivers,sorghum,,
2015,Sokoto,sorghum,259.3,1.19
2015,Taraba,sorghum,276.82,1.38
2015,Yobe,sorghum,193,0.76
2015,Zamfara,sorghum,259.77,1.48
2015,Abia,maize,79.62,1.16
2015,Adamawa,maize,156.4,1.99
2015,Akwa-Ibom,maize,70.74,1.11
2015,Anambra,maize,46.43,1.56
2015,Bauchi,maize,169.54,1.8
2015,Bayelsa,maize,47.72,1.12
2015,Benue,maize,142.14,2.57
2015,Borno,maize,137.89,0.79
2015,Cross River,maize,87.85,1.46
2015,Delta,maize,88.52,1.52
2015,Ebonyi,maize,71.94,1.53
2015,Edo,maize,94.73,1.36
2015,Ekiti,maize,167.5,1.19
2015,Enugu,maize,90.73,1.35
2015,Fct,maize,149.71,2.24
2015,Gombe,maize,169.81,1.63
2015,Imo,maize,79.86,1.14
2015,Jigawa,maize,168.34,1.66
2015,Kaduna,maize,329.53,2.32
2015,Kano,maize,213.02,2.2
2015,Katsina,maize,246.62,2.01
2015,Kebbi,maize,138.3,1.72
2015,Kogi,maize,239.26,1.42
2015,Kwara,maize,132.28,2.19
2015,Lagos,maize,100.92,1.28
2015,Nasarawa,maize,195.51,2.03
2015,Niger,maize,289.77,2.22
2015,Ogun,maize,120.31,1.86
2015,Ondo,maize,199.14,1.5
2015,Osun,maize,179.44,1.12
2015,Oyo,maize,173.04,1.44
2015,Plateau,maize,260.23,2.07
