year,state,humidity,soil_surface,max_temp,min_temp,soil_moisture,root_zone,max_speed,min_speed,radiation,rainfall
2015,Abia,85.12,0.69,32.78,13.13,0.85,0.68,6.15,0.07,35.77,1439.65
2016,Abia,85.5,0.75,34.23,15.16,0.89,0.76,5.8,0.02,35.75,1966.99
2017,Abia,86.75,0.8,33.05,17.32,0.94,0.81,5.14,0,35.75,2046.09
2018,Abia,85.81,0.78,33.61,12.67,0.92,0.8,4.95,0.02,35.75,1814.06
2019,Abia,86.12,0.77,32.62,17.01,0.91,0.77,4.48,0.02,35.75,1930.08
2020,Abia,85.19,0.77,33.21,13.89,0.91,0.78,6,0.05,35.75,1961.72
2015,Adamawa,47.69,0.38,42.23,8.62,0.47,0.48,9.89,0.06,35.37,838.48
2016,Adamawa,53.19,0.47,42.89,11.16,0.54,0.55,8.36,0.04,35.35,1212.89
2017,Adamawa,51.19,0.45,41.73,14.13,0.52,0.52,8.1,0.08,35.36,1117.97
2018,Adamawa,53.12,0.47,41.26,10.51,0.53,0.54,7.52,0.02,35.36,1244.53
2019,Adamawa,53.5,0.48,43.05,11.66,0.55,0.55,9.12,0.02,35.35,1228.71
2020,Adamawa,52.75,0.41,41.57,10.43,0.47,0.48,8.23,0.05,35.35,885.94
2015,Akwa-Ibom,86.94,0.85,33.73,14.73,0.91,0.86,4.34,0.05,35.77,2731.64
2016,Akwa-Ibom,86.62,0.86,33.63,16.81,0.91,0.88,4.1,0.02,35.75,3137.7
2017,Akwa-Ibom,87.56,0.89,33.47,19.09,0.94,0.91,4.19,0.06,35.75,3164.06
2018,Akwa-Ibom,86.88,0.88,33.3,16.92,0.92,0.89,4.57,0.04,35.75,2446.88
2019,Akwa-Ibom,86.5,0.83,32.44,19.53,0.88,0.84,4.38,0.04,35.75,2093.55
2020,Akwa-Ibom,86.19,0.86,33.54,15.96,0.91,0.88,4.88,0.04,35.75,2900.39
2015,Anambra,83.62,0.63,32.72,12.65,0.78,0.62,7.31,0.05,35.71,1086.33
2016,Anambra,83.69,0.66,35.4,15.54,0.78,0.65,6.74,0.02,35.69,1692.77
2017,Anambra,85.75,0.77,33.17,16.51,0.9,0.77,6,0.02,35.69,2109.38
2018,Anambra,85,0.78,33.23,11.77,0.91,0.78,5.77,0.03,35.69,2114.65
2019,Anambra,85.38,0.78,32.64,16.44,0.91,0.78,5.61,0.07,35.69,2257.03
2020,Anambra,84.06,0.77,32.98,13.37,0.91,0.77,6.67,0.05,35.69,2172.66
2015,Bauchi,38.88,0.23,42.83,6.26,0.29,0.28,6.16,0.04,35.27,384.96
2016,Bauchi,42.44,0.26,43.33,9.36,0.3,0.3,4.52,0.01,35.24,442.97
2017,Bauchi,41.38,0.27,42.8,13.34,0.31,0.3,4.83,0.05,35.25,516.8
2018,Bauchi,41.31,0.24,43.11,8.8,0.29,0.29,4.7,0.02,35.25,374.41
2019,Bauchi,44.31,0.27,43.36,9.8,0.3,0.3,4.99,0.01,35.25,506.25
2020,Bauchi,51.44,0.38,41.88,9.54,0.38,0.38,4.65,0.04,35.24,1075.78
2015,Bayelsa,75.75,0.65,37.55,13.17,0.73,0.66,8.87,0.03,35.64,901.76
2016,Bayelsa,75.44,0.67,38.9,15.12,0.75,0.69,8.52,0.06,35.62,1165.43
2017,Bayelsa,77.88,0.7,36.73,15.08,0.77,0.7,8.19,0.05,35.62,1054.69
2018,Bayelsa,76.06,0.66,38.15,12.12,0.75,0.66,7.27,0.06,35.62,965.04
2019,Bayelsa,74.12,0.62,37.94,15.28,0.73,0.65,7.8,0.02,35.62,875.39
